"Borough","CommunityBoard","CouncilDistrict","DispenserUnitLocation","GISPropNum","InstallationDate","Location","Manufacturer","MountingSurface","OBJECTID","OMPPropID","ParkDistrict","Precinct","PropertyName","RestockedBy","SubPropertyName","ZIPCode","point"
"B",304,37,"Near Entrance","B049","2018-03-10 05:00:00.0000000","Just inside Halsey/Wilson entrance","Mitt Mutt","Unpaved Surface",8413,"","B-04",83,"Irving Square Park","","",11207,"POINT (-73.90957337270694 40.6916821934667)"
"B",302,35,"Near Entrance","B021","2018-02-08 05:00:00.0000000","By park house inside N Elliot Pl entranc","Mitt Mutt","Unpaved Surface",8006,"","B-02",88,"Commodore Barry Park","","",11201,"POINT (-73.97757982250826 40.69750460729698)"
"B",310,47,"Near Entrance","B066","2018-03-09 05:00:00.0000000","In hort area by Colonial Rd entrance","Mitt Mutt","Unpaved Surface",5644,"","B-10",68,"Owl's Head Park","","",11220,"POINT (-74.03040491738294 40.63977209905405)"
"R",503,51,"Park Interior","R079","","in parking lot","Mitt Mutt","Paved Surface",17606,"","R-03",123,"Lemon Creek Park","Parks","",10309,"POINT (-74.20982983977382 40.51109549855159)"
"Q",414,31,"Park Interior","Q219","2018-03-26 04:00:00.0000000","left of benches on circle path","Mitt Mutt","Unpaved Surface",11604,"Q219-99","Q-14",100,"Rockaway Freeway","Parks","Beach 84",11693,"POINT (-73.80916419312365 40.59133513108727)"
"Q",412,28,"Near Entrance","Q220C","2018-08-06 04:00:00.0000000","115th Ave and Van Wyck Expy","Mitt Mutt","Paved Surface",6056,"","Q-12",113,"Dr. Charles R. Drew Park","Parks","",11436,"POINT (-73.80412405003509 40.68121481634691)"
"B",309,40,"Near Entrance","B148","2018-03-12 04:00:00.0000000","10 ft L of Clarkson Av entrance","Mitt Mutt","Wrought Iron Fence",5653,"","B-09",71,"Rolph Henry Playground","","",11226,"POINT (-73.9474089533149 40.65566617183627)"
"X",202,17,"Park Perimeter","X116","","","Mitt Mutt","Wall",3639,"","X-02",41,"Rev J Polite Playground","Parks","",10459,"POINT (-73.89639782995539 40.827197967162604)"
"R",502,50,"Park Interior","R013Group","2018-03-01 05:00:00.0000000","In parking Lot next to storage Container","Mitt Mutt","Unpaved Surface",2405,"R065-ZN08","R-02",121,"The Greenbelt","Parks","Willowbrook Park Recreational Area",10314,"POINT (-74.15906191955496 40.6045559514638)"
"R",501,49,"Park Perimeter","R061","2018-08-18 04:00:00.0000000","By sidewalk","Mitt Mutt","Unpaved Surface",8804,"","R-01",120,"Rev. Dr. Maggie Howard Playground","Parks","",10304,"POINT (-74.07934758812267 40.62380083976661)"
"X",205,14,"Park Perimeter","X051","","","Mitt Mutt","Wrought Iron Fence",14408,"","X-05",46,"University Woods","Parks","",10468,"POINT (-73.9134202436218 40.859637988593846)"
"Q",401,22,"Near Entrance","Q298","2018-03-27 04:00:00.0000000","47th Street","Mitt Mutt","Paved Surface",3216,"","Q-01",114,"Paul Raimonda Playground","Parks","",11105,"POINT (-73.89768606334357 40.77300159185194)"
"M",103,1,"Park Perimeter","M105","","Forsyth btwn Delancey & Rivington","Mitt Mutt","Wrought Iron Fence",33604,"","M-03",5,"Sara D. Roosevelt Park","Parks","",10002,"POINT (-73.99199960590862 40.72036367501259)"
"Q",412,24,"Near Entrance","Q105","2018-02-08 05:00:00.0000000","91st Ave, mid-block behind brick","Mitt Mutt","Unpaved Surface",6050,"","Q-12",103,"Howard Von Dohlen Playground","Parks","",11435,"POINT (-73.81320365163381 40.699805196549974)"
"Q",412,23,"Near Entrance","Q120","2018-02-06 05:00:00.0000000","179th Pl. inside gate to plgd","Mitt Mutt","Unpaved Surface",6051,"","Q-12",103,"Harvard Playground","Parks","",11432,"POINT (-73.7817506319756 40.709173875449416)"
"X",201,8,"Near Entrance","X045","","","Mitt Mutt","Wrought Iron Fence",22004,"X045-ZN02","X-01",40,"St. Mary's Park","Parks","St Mary's Park Zone 2",10454,"POINT (-73.91118469122486 40.81354961618328)"
"B",318,46,"Near Entrance","B360","2018-03-01 05:00:00.0000000","Right of Remsen Ave entrance","Mitt Mutt","Wrought Iron Fence",3617,"","B-18",69,"Remsen Playground","","",11236,"POINT (-73.90771397421697 40.641997918212354)"
"Q",406,24,"Park Perimeter","Q357B","2017-12-11 05:00:00.0000000","on Horace Harding btw BBCT and swings","Mitt Mutt","Paved Surface",3264,"","Q-06",112,"Real Good Playground","Parks","",11374,"POINT (-73.85717166699024 40.73577164184958)"
"X",208,11,"Park Perimeter","X019","","","Mitt Mutt","Pipe Rail",16806,"","X-08",50,"Ewen Park","Parks","",10463,"POINT (-73.91065357422494 40.882749884113274)"
"Q",407,20,"Park Interior","Q300Group","2017-12-13 05:00:00.0000000","front of Boathouse next to comm. board","Mitt Mutt","Unpaved Surface",4404,"Q024-ZN01","Q-07",109,"Kissena Corridor Park","Parks","Kissena Park Zone 1",11365,"POINT (-73.80369174672644 40.74929452658882)"
"Q",410,28,"Park Perimeter","Q119","2018-08-22 04:00:00.0000000","on 134th St. near outfield","Mitt Mutt","Unpaved Surface",5621,"","Q-10",106,"Frederick B. Judge Playground","Parks","",11420,"POINT (-73.80854140210631 40.683528628236054)"
"",414,32,"Near Entrance","Q162Group","2018-03-26 04:00:00.0000000","B. 91st St. entr. to skatepark, eastside","Mitt Mutt","Unpaved Surface",7228,"Q163-ZN06A","Q-14",100,"Rockaway Beach and Boardwalk","Parks","Rockaway Beach 06a",11693,"POINT (-73.81290525267998 40.58421380850723)"
"B",304,34,"Park Perimeter","B395","2018-04-23 04:00:00.0000000","Perimeter, Adj Central Ave Entrance","Mitt Mutt","Paved Surface",3612,"","B-04",83,"Green Central Knoll","Parks","",11206,"POINT (-73.9329959380437 40.70243612381086)"
"X",207,11,"Park Perimeter","X033","","20' from W. Gun Hill Rd on E Mosh Pkwy","Mitt Mutt","Unpaved Surface",16411,"X033-ZN01","X-07",52,"Mosholu Parkway","Parks","Mosholu Parkway Zone 1",10467,"POINT (-73.8852772510794 40.8835100094354)"
"X",207,11,"Park Perimeter","X033","","","Mitt Mutt","Unpaved Surface",16005,"X033-ZN04","X-07",52,"Mosholu Parkway","Parks","Mosholu Parkway Zone 4",10458,"POINT (-73.88147388018703 40.86891590736421)"
"Q",411,19,"Near Entrance","Q369","2017-11-30 05:00:00.0000000","248th St. btw. 51st Ave and 52nd Ave.","Mitt Mutt","Unpaved Surface",6031,"","Q-11",111,"Louis Pasteur Park","Parks","",11362,"POINT (-73.73572737991827 40.761698519642856)"
"X",205,14,"Park Interior","X265","","","Mitt Mutt","Wrought Iron Fence",15203,"","X-05",46,"Galileo Playground","Parks","",10453,"POINT (-73.91584972943346 40.848475594834845)"
"X",211,13,"Park Perimeter","X003","","near Wallus Ave","Mitt Mutt","Unpaved Surface",26003,"X003-ZN01","X-11",49,"Pelham Parkway","Parks","Pelham Parkway Zone 1",10467,"POINT (-73.86475153137488 40.857786963201846)"
"Q",409,32,"Near Entrance","Q053","2018-04-02 04:00:00.0000000","88th Ave., date is estimate","Mitt Mutt","Paved Surface",6018,"","Q-09",102,"Equity Playground","Parks","",11421,"POINT (-73.85366296878041 40.69158446778757)"
