"Borough","CommunityBoard","CouncilDistrict","DispenserUnitLocation","GISPropNum","InstallationDate","Location","Manufacturer","MountingSurface","OBJECTID","OMPPropID","ParkDistrict","Precinct","PropertyName","RestockedBy","SubPropertyName","ZIPCode","point"
"R",503,51,"Park Perimeter","R106","2018-06-20 04:00:00.0000000","Ionia Nad Lenevar","Mitt Mutt","Paved Surface",17605,"R106-ZN03","R-03",123,"Bloomingdale Park","Parks","Bloomingdale Park Zone 3",10309,"POINT (-74.20785998604909 40.53427200279749)"
"B",311,47,"Near Entrance","B164","2018-01-31 05:00:00.0000000","Inside right entrance on 17 Ct","Mitt Mutt","Paved Surface",3636,"","B-11",62,"Bath Beach Park","","",11214,"POINT (-74.01097078995154 40.60288944649069)"
"X",203,17,"Park Perimeter","X273","","","Mitt Mutt","Wrought Iron Fence",7220,"","X-03",42,"Rock Garden Park","Parks","",10460,"POINT (-73.88569115143586 40.835333715880054)"
"B",316,41,"Near Entrance","B153","2018-04-18 04:00:00.0000000","On Dean St near Howard Av entrance","Mitt Mutt","Paved Surface",3239,"","B-16",73,"South Pacific Playground","","",11233,"POINT (-73.91952828666273 40.67529376026326)"
"X",212,11,"Near Entrance","X002Group","","","Mitt Mutt","Unpaved Surface",20815,"X002-ZN03","",47,"Bronx River Parks","Parks","Bronx Park Zone 3",10467,"POINT (-73.8705632933224 40.873245964984356)"
"X",206,15,"Park Perimeter","X010A","","","Mitt Mutt","Wrought Iron Fence",7215,"","X-06",48,"Walter Gladwin Park","Parks","",10457,"POINT (-73.89461651871065 40.844160926425694)"
"B",315,44,"Park Perimeter","B065","2018-04-03 04:00:00.0000000","","Mitt Mutt","Unpaved Surface",5613,"B065-ZN07","B-12",61,"Ocean Parkway Malls","Parks","Ocean Parkway Malls Zone 7",11223,"POINT (-73.9665958741591 40.6049446193366)"
"Q",401,22,"Near Entrance","Q123","2017-12-21 05:00:00.0000000","right outside CLF","Mutt Mitt","Paved Surface",3211,"","Q-01",114,"Astoria Health Playground","Parks","",11106,"POINT (-73.9325291515495 40.76783800480033)"
"R",502,50,"Park Perimeter","R067","2018-05-10 04:00:00.0000000","","Mitt Mutt","Chain Link Fence",16417,"","R-02",122,"Gen. Douglas MacArthur Park","Parks","",10304,"POINT (-74.10130845234087 40.58556198704571)"
"B",313,47,"Near Entrance","B125","2018-03-17 04:00:00.0000000","","Mitt Mutt","Unpaved Surface",6038,"B125-01","B-13",60,"Calvert Vaux Park","Parks","Calvert Vaux Park Playground",11214,"POINT (-73.99135972525058 40.587748824256266)"
"B",301,34,"Near Entrance","B154","2018-03-08 05:00:00.0000000","20 ft L. of S 3 St entrance","Mitt Mutt","Wrought Iron Fence",8409,"","B-01",90,"Berry Playground","","",11249,"POINT (-73.96332785940182 40.712727003496596)"
"X",227,15,"Park Perimeter","X002Group","","","Mitt Mutt","Wrought Iron Fence",21221,"X002-ZN02","",49,"Bronx River Parks","Parks","Bronx Park Zone 2",10467,"POINT (-73.87107301853887 40.85892249904758)"
"X",204,16,"Near Entrance","X047","","","Mitt Mutt","Paved Surface",13203,"X047-ZN01","X-04",44,"Franz Sigel Park","Parks","Franz Sigel Park Zone 1",10451,"POINT (-73.92663958688654 40.82267664838648)"
"B",305,42,"Park Perimeter","B419","2018-03-28 04:00:00.0000000","On corner of Sutter Av/Barbey St","Mitt Mutt","Paved Surface",8021,"","B-05",75,"Sutter Ballfields","","",11207,"POINT (-73.88715783580709 40.67065171298535)"
"X",208,14,"Park Perimeter","X038","","500 ft from bus stop","Mitt Mutt","Paved Surface",17208,"","X-08",50,"Washington's Walk","Parks","",10468,"POINT (-73.90120343727587 40.87487705984541)"
"B",313,48,"Park Perimeter","B065","2018-03-14 04:00:00.0000000","","Mitt Mutt","Paved Surface",6039,"B065-ZN09","B-12",60,"Ocean Parkway Malls","Parks","Ocean Parkway Malls Zone 9",11235,"POINT (-73.96589427166958 40.58679828476593)"
"X",212,12,"Near Entrance","X141","","","Mitt Mutt","Chain Link Fence",20810,"","X-12",47,"Rienzi Playground","Parks","",10466,"POINT (-73.85854060982984 40.887272555916475)"
"X",208,11,"Park Perimeter","X150L","","","Mitt Mutt","Chain Link Fence",17207,"","X-08",50,"Van Cortlandt's Tail","Parks","",10463,"POINT (-73.89956663949434 40.88611061811814)"
"Q",410,32,"Near Entrance","Q386","2018-02-06 05:00:00.0000000","on Centreville St. right of benches","Mitt Mutt","Unpaved Surface",6024,"","Q-10",106,"Centreville Playground","Parks","",11417,"POINT (-73.8387044287863 40.669996581426496)"
"R",503,51,"Park Interior","R119","2018-06-20 04:00:00.0000000","in parking lot","Mitt Mutt","Paved Surface",17610,"R119-ZN01","R-03",123,"Blue Heron Park","Parks","Blue Heron Park Zone 1",10312,"POINT (-74.17751215620282 40.53100370041893)"
"Q",414,31,"Near Entrance","Q443","2018-03-19 04:00:00.0000000","B. 66th St. and Beach Channel Dr.","Mitt Mutt","Paved Surface",11608,"","Q-14",100,"Almeda Playground","Parks","",11692,"POINT (-73.79502435803228 40.59307732087392)"
"B",355,39,"Park Perimeter","B073","2018-04-10 04:00:00.0000000","","Mitt Mutt","Paved Surface",6007,"B073-ZN05","B-19",78,"Prospect Park","Parks","Prospect Park Southwest Upper",11215,"POINT (-73.97639558656581 40.65945342553592)"
"M",111,8,"Park Perimeter","M214","","2nd Ave between 103 & 102 Sts","Mitt Mutt","Unpaved Surface",34806,"","M-11",23,"Blake Hobbs Playground","Parks","",10029,"POINT (-73.9441905440203 40.78852847115658)"
"R",501,49,"Near Entrance","R028","2018-06-22 04:00:00.0000000","Near water street sidewalk","Mitt Mutt","Unpaved Surface",8808,"","R-01",120,"Tappen Park","Parks","",10304,"POINT (-74.07708035568118 40.62696503201528)"
"",202,17,"Park Perimeter","","","","Mitt Mutt","Unpaved Surface",3643,"","",41,"","Parks","",10459,"POINT (-73.89437008026785 40.82441331659876)"
"B",316,41,"Near Entrance","B249","2018-03-07 05:00:00.0000000","Adj. to courts on Dumont Av","Mitt Mutt","Paved Surface",3623,"","B-16",73,"Van Dyke Playground","","",11212,"POINT (-73.90372193477668 40.66484727135195)"
"R",501,49,"Near Entrance","R114","2018-02-28 05:00:00.0000000","Sidewalk","Mitt Mutt","Wrought Iron Fence",7625,"","R-01",121,"Jennifer's Playground","Parks","",10314,"POINT (-74.16260582516331 40.61975505409546)"
"X",211,13,"Park Interior","X003","","","Mitt Mutt","Unpaved Surface",21208,"X003-ZN02","X-11",49,"Pelham Parkway","Parks","Pelham Parkway Zone 2",10469,"POINT (-73.84934180779159 40.85864757449546)"
"X",201,8,"Park Perimeter","X041","","","Mitt Mutt","Chain Link Fence",3241,"","X-01",40,"Pulaski Park","Parks","",10454,"POINT (-73.9241487528811 40.80532201560815)"
"B",302,33,"Park Perimeter","B223H","2018-02-09 05:00:00.0000000","On Middagh St perimeter by Columbia Hts","Mitt Mutt","Paved Surface",8007,"","B-02",84,"Harry Chapin Playground","","",11201,"POINT (-73.99502078640506 40.70091245910239)"
"B",305,42,"Near Entrance","B312","2018-03-28 04:00:00.0000000","L. of Autumn Av entrance, adj to HBCT","Mitt Mutt","Paved Surface",8022,"","B-05",75,"Woodruff Playground","","",11208,"POINT (-73.86567212212975 40.66528555087767)"
"",318,46,"Near Entrance","B018","2018-02-27 05:00:00.0000000","","Mitt Mutt","Unpaved Surface",12004,"B018-ZN02","B-18",69,"Canarsie Park","Parks","Canarsie Park Zone 2",11236,"POINT (-73.8966396121491 40.62902810261372)"
"Q",412,28,"Near Entrance","Q005","2018-02-08 05:00:00.0000000","corner of Foch Blvd. and Long St.","Mitt Mutt","Paved Surface",5641,"Q005-05","Q-12",113,"Baisley Pond Park","Parks","157 St Playground",11434,"POINT (-73.784927000512 40.68373251001924)"
"M",103,1,"Park Perimeter","M116","","On E Houston St by Essex St","Mitt Mutt","Wrought Iron Fence",34006,"","M-03",7,"ABC Playground","Parks","",10002,"POINT (-73.98609681784411 40.721941174634935)"
"",414,32,"Near Entrance","Q162Group","2018-03-23 04:00:00.0000000","baffel wall at B. 130th","Mitt Mutt","Paved Surface",11603,"Q164-ZN10B","Q-14",100,"Rockaway Beach and Boardwalk","Parks","Rockaway Beach 10b",11694,"POINT (-73.84764949876461 40.573568565850884)"
"X",227,15,"Park Interior","X002Group","","near signs","Mitt Mutt","Unpaved Surface",21222,"X002-ZN02","",49,"Bronx River Parks","Parks","Bronx Park Zone 2",10467,"POINT (-73.87123126962388 40.85775400641663)"
"Q",412,28,"Near Entrance","Q220B","2018-02-06 05:00:00.0000000","on 142nd St. mid-block","Mitt Mutt","Paved Surface",6055,"","Q-12",103,"Norelli-Hargreaves Playground","Parks","",11435,"POINT (-73.80874295112402 40.69042237247156)"
"R",503,51,"Park Interior","R031","2018-06-19 04:00:00.0000000","Path close to building","Mitt Mutt","Paved Surface",17609,"R031-ZN02","R-03",123,"Wolfe's Pond Park","Parks","Wolfe's Pond Park Zone 2",10309,"POINT (-74.19038705017431 40.51701715983292)"
"X",201,8,"Park Perimeter","X238","","","Mitt Mutt","Chain Link Fence",3638,"","X-01",40,"Saw Mill Playground","Parks","",10454,"POINT (-73.91902192832131 40.80910495257047)"
"B",301,34,"Near Entrance","B025","2018-01-09 05:00:00.0000000","Inside entrance to L near b pole","Mitt Mutt","Unpaved Surface",5654,"","B-01",90,"Cooper Park","","",11211,"POINT (-73.93869108209603 40.71564520923897)"
"R",501,49,"Park Perimeter","R061","2018-08-18 04:00:00.0000000","By sidewalk","Mitt Mutt","Unpaved Surface",8803,"","R-01",120,"Rev. Dr. Maggie Howard Playground","Parks","",10304,"POINT (-74.07903788014215 40.623192138260904)"
"Q",401,22,"Near Entrance","Q395","2018-03-21 04:00:00.0000000","38th Street, left side outside CLF","Mitt Mutt","Paved Surface",3621,"","Q-01",114,"Steinway Playground","Parks","",11105,"POINT (-73.90347611537827 40.776200154912)"
"Q",401,22,"Park Perimeter","Q066C","2018-03-27 04:00:00.0000000","Hoyt Ave. North near 24th St.","Mutt Mitt","Paved Surface",3604,"","Q-01",114,"Triborough Bridge Playground C","Parks","",11102,"POINT (-73.92188002957792 40.773958154158976)"
"X",212,11,"Park Interior","X002Group","","","Mitt Mutt","Paved Surface",20814,"X002-ZN05A","",47,"Bronx River Parks","Parks","Bronx River Parkway East (South Half)",10467,"POINT (-73.86627590398238 40.884270308856614)"
"X",205,14,"Park Perimeter","X051","","","Mitt Mutt","Paved Surface",14409,"","X-05",46,"University Woods","Parks","",10468,"POINT (-73.91414443978672 40.85990981965885)"
"B",309,40,"Near Entrance","B267","2018-03-12 04:00:00.0000000","20 ft R of Winthorp St entrance","Mitt Mutt","Wrought Iron Fence",6054,"","B-09",71,"Winthrop Playground","","",11225,"POINT (-73.95377383290386 40.65679142202373)"
"X",204,16,"Near Entrance","X047","","","Mitt Mutt","Paved Surface",13204,"X047-ZN01","X-04",44,"Franz Sigel Park","Parks","Franz Sigel Park Zone 1",10451,"POINT (-73.92492297357357 40.82283090701672)"
"X",203,15,"Park Perimeter","X010","","","Mitt Mutt","Wrought Iron Fence",6403,"X010-ZN10","X-03",42,"Crotona Park","Parks","Crotona Zone 10",10457,"POINT (-73.89761634741028 40.8416893216649)"
"B",308,36,"Near Entrance","B012","2018-01-18 05:00:00.0000000","At park entrance next to red pillars","Mitt Mutt","Unpaved Surface",3616,"","B-08",77,"Brower Park","","",11213,"POINT (-73.94279820800917 40.673158858917816)"
"R",595,50,"Park Perimeter","R016","","by bike path","Mitt Mutt","Paved Surface",20004,"R016-ZN02","R-03",122,"Great Kills Park","Parks","Cedar Grove Beach Zone 2",10306,"POINT (-74.10059572711067 40.56101226247114)"
"X",203,15,"Park Perimeter","X010","","","Mitt Mutt","Wrought Iron Fence",7603,"X010-ZN06","X-03",42,"Crotona Park","Parks","Hylan Park",10460,"POINT (-73.88809074179755 40.839751094789364)"
"B",307,43,"Near Entrance","B265","2018-03-05 05:00:00.0000000","To right of 56 St entrance","Mitt Mutt","Paved Surface",8012,"","B-07",72,"Rainbow Playground","","",11220,"POINT (-74.01126606849579 40.64027394799391)"
"R",501,49,"Near Entrance","R170","2018-08-19 04:00:00.0000000","","Mitt Mutt","Unpaved Surface",10003,"","R-01",120,"Stapleton Esplanade","Parks","",10304,"POINT (-74.07298110624903 40.63002526965976)"
"",414,31,"Park Interior","Q162Group","2018-04-23 04:00:00.0000000","Beach 13th almost to Boardwalk","Mitt Mutt","Unpaved Surface",7219,"","Q-14",101,"Rockaway Beach and Boardwalk","Parks","",11691,"POINT (-73.74705030850104 40.59492661157929)"
"R",501,50,"Near Entrance","R029","2018-10-18 04:00:00.0000000","near path","Mitt Mutt","Unpaved Surface",30804,"","R-01",121,"Westerleigh Park","Partner Group","",10314,"POINT (-74.13382764384437 40.62019638881632)"
"R",502,50,"Park Interior","R063","2018-05-10 04:00:00.0000000","Kramer street side","Mitt Mutt","Chain Link Fence",27603,"","R-02",122,"Old Town Playground","Parks","",10305,"POINT (-74.08109075703844 40.59568353612911)"
"B",355,39,"Park Perimeter","B073","2018-04-10 04:00:00.0000000","Vanderbilt & Prospect Park SW Entrance","Mitt Mutt","Paved Surface",3215,"B073-ZN06","B-19",78,"Prospect Park","Parks","Prospect Park Southwest Lower",11215,"POINT (-73.9730961280242 40.654739571636874)"
"X",207,11,"Park Perimeter","X033","","","Mitt Mutt","Unpaved Surface",16404,"X033-ZN04","X-07",52,"Mosholu Parkway","Parks","Mosholu Parkway Zone 4",10467,"POINT (-73.880368811025 40.87142082152348)"
"Q",406,24,"Park Perimeter","Q357B01","2017-12-11 05:00:00.0000000","in horticulture bed on 62nd Ave.","Mitt Mutt","Unpaved Surface",3253,"","Q-06",112,"Barrier Playground","Parks","",11375,"POINT (-73.8544105928507 40.7362455314961)"
"B",309,35,"Park Perimeter","B029","2018-03-29 04:00:00.0000000","","Mitt Mutt","Unpaved Surface",6043,"B029-ZN02","B-08",71,"Eastern Parkway","Parks","Eastern Parkway Mall Zone 2",11225,"POINT (-73.95831463118441 40.67056188791849)"
"B",304,37,"Near Entrance","B049","2018-03-10 05:00:00.0000000","Just inside Halsey St middle entrance","Mitt Mutt","Unpaved Surface",8017,"","B-04",83,"Irving Square Park","","",11207,"POINT (-73.90881162633634 40.6924163654776)"
"X",226,11,"Near Dog Run","X092","","Woodlawn dog run","Mitt Mutt","Chain Link Fence",21212,"X092-ZN21","X-13",47,"Van Cortlandt Park","Parks","NE Forest",10470,"POINT (-73.87344607253088 40.8993267705283)"
"B",318,46,"Park Perimeter","B057","2018-03-01 05:00:00.0000000","","Mitt Mutt","Unpaved Surface",6011,"B057-ZN05","B-18",63,"Marine Park","Parks","Marine Park Zone 5",11234,"POINT (-73.92520859251431 40.60635455806938)"
"X",205,14,"Park Perimeter","X291","","","Mitt Mutt","Wrought Iron Fence",14803,"","X-05",46,"Walton Park","Parks","",10453,"POINT (-73.9051248721076 40.85504514115666)"
"",410,32,"Park Interior","","2018-02-07 05:00:00.0000000","near 84th St.","Mitt Mutt","Unpaved Surface",6028,"","",106,"","Parks","",11417,"POINT (-73.8531652973701 40.67982542806234)"
"Q",407,19,"Near Entrance","Q011","2018-04-25 04:00:00.0000000","entrance at 124th St.","Mitt Mutt","Unpaved Surface",6006,"","Q-07",109,"Poppenhusen Playground","Parks","",11356,"POINT (-73.84424672240301 40.78113013534973)"
"B",305,42,"Park Perimeter","B345","2018-03-27 04:00:00.0000000","On Wortman Av perimeter","Mitt Mutt","Wrought Iron Fence",8414,"","B-05",75,"Ethan Allen Playground","","",11207,"POINT (-73.88701643509064 40.65596820150885)"
"M",104,3,"Park Perimeter","M257","","by entrance at 10th ave","Mitt Mutt","Wrought Iron Fence",32405,"","M-04",10,"Clement Clarke Moore Park","Parks","",10011,"POINT (-74.0046469461754 40.746757764488926)"
"X",207,11,"Near Entrance","X136","","bottom of steps leading to BF# 2, 3","Mitt Mutt","Unpaved Surface",17203,"","X-07",52,"Harris Park","Parks","",10468,"POINT (-73.89280579083342 40.877052568184006)"
"X",207,14,"Near Entrance","X044","","","Mitt Mutt","Wrought Iron Fence",16014,"","X-07",52,"St. James Park","Parks","",10468,"POINT (-73.89617225523656 40.8658508690688)"
"M",104,6,"","M010","","","Mitt Mutt","",29203,"M010-01","M-13",18,"Central Park","","Columbus Circle",10023,"POINT (-73.98176503410633 40.76799383693693)"
"X",211,13,"Park Interior","X003","","Pelham Pkwy Service Road","Mitt Mutt","Unpaved Surface",20807,"","X-11",49,"Pelham Parkway","Parks","",10461,"POINT (-73.86007064140873 40.85691105037299)"
"R",501,49,"Park Perimeter","R025","2018-08-16 04:00:00.0000000","Cresent ave &beechwood ave","Mitt Mutt","Unpaved Surface",5626,"","R-01",120,"Mahoney Playground","Parks","",10301,"POINT (-74.08528952021595 40.64313573322256)"
"",318,46,"Near Entrance","B018","2018-02-27 05:00:00.0000000","","Mitt Mutt","Unpaved Surface",12403,"B018-ZN01","B-18",69,"Canarsie Park","Parks","Canarsie Park Zone 1",11236,"POINT (-73.89240516433736 40.628864049571725)"
"B",313,47,"Near Entrance","B252","2018-03-14 04:00:00.0000000","Just outside West St entrance","Mitt Mutt","Paved Surface",3248,"","B-13",60,"West Playground","","",11223,"POINT (-73.96956793104923 40.586675524221796)"
"B",355,39,"Park Perimeter","B073","2018-04-10 04:00:00.0000000","","Mitt Mutt","Paved Surface",5609,"B073-ZN05","B-19",78,"Prospect Park","Parks","Prospect Park Southwest Upper",11215,"POINT (-73.97396228710339 40.65775564085948)"
"Q",414,31,"Near Entrance","Q403","2018-03-26 04:00:00.0000000","near benches on B. 80th St.","Mitt Mutt","Unpaved Surface",11206,"","Q-14",100,"Beach Channel Playground","Parks","",11693,"POINT (-73.8063005649046 40.58886143322398)"
"X",205,14,"Park Perimeter","X129","","","Mitt Mutt","Pipe Rail",14413,"","X-05",46,"Devanney Triangle","Parks","",10453,"POINT (-73.9042536268152 40.85247657406255)"
"X",206,15,"Park Perimeter","X289","","","Mitt Mutt","Chain Link Fence",7207,"","X-06",48,"Mapes Park","Parks","",10460,"POINT (-73.88611391861953 40.84691196411521)"
"X",212,11,"Near Entrance","X002Group","","","Mitt Mutt","Unpaved Surface",21217,"X002-ZN03","",47,"Bronx River Parks","Parks","Bronx Park Zone 3",10467,"POINT (-73.87046136916652 40.87529844725718)"
"B",301,34,"Near Entrance","B386","2018-02-01 05:00:00.0000000","To right of Stagg St entrance","Mitt Mutt","Wrought Iron Fence",5658,"","B-01",90,"Ten Eyck Plaza","","",11206,"POINT (-73.94922576329262 40.70901905070561)"
"R",503,51,"Park Interior","R172","","Parking Lot Entrance","Mitt Mutt","Paved Surface",20406,"R172-ZN01","R-03",121,"Brookfield Park","Parks","Brookfield Park Zone 1",10308,"POINT (-74.16180821132421 40.56334535224518)"
"Q",414,31,"Park Perimeter","Q353","2018-03-16 04:00:00.0000000","Grassmere Terr. and Aztec Pl.","Mitt Mutt","Paved Surface",7608,"","Q-14",101,"Grassmere Playground","Parks","",11691,"POINT (-73.75940358575383 40.59969552333504)"
"B",316,37,"Near Entrance","B363","2018-03-27 04:00:00.0000000","10 ft R of park sign at Sackman/Glenmore","Mitt Mutt","Wrought Iron Fence",3230,"","B-16",73,"Houston Playground","","",11212,"POINT (-73.90521157641031 40.67189419076751)"
"B",315,48,"Near Entrance","B166B","2018-02-15 05:00:00.0000000","Left of Homecrest Av entrance","Mitt Mutt","Paved Surface",3628,"","B-15",61,"Homecrest Playground","","",11235,"POINT (-73.95691208826184 40.58595862800552)"
"B",313,47,"Park Perimeter","B065","2018-03-14 04:00:00.0000000","","Mitt Mutt","Paved Surface",5632,"B065-ZN09","B-12",60,"Ocean Parkway Malls","Parks","Ocean Parkway Malls Zone 9",11223,"POINT (-73.96640067285972 40.58655059459081)"
"Q",407,20,"Near Entrance","Q017","2017-12-06 05:00:00.0000000","on 165th St. middle entrance","Mitt Mutt","Unpaved Surface",5204,"","Q-07",109,"The Olde Towne of Flushing Burial Ground","Parks","",11358,"POINT (-73.80203959840891 40.75455564648987)"
"B",318,46,"Park Perimeter","B324","2018-02-28 05:00:00.0000000","","Mitt Mutt","Paved Surface",5649,"","B-18",63,"Jacob Joffe Fields","Parks","",11234,"POINT (-73.91901815699245 40.62565319450079)"
"Q",406,24,"Park Perimeter","Q357B","2017-12-11 05:00:00.0000000","62nd ave to right of CS on cobblestones","Mitt Mutt","Paved Surface",3263,"","Q-06",112,"Real Good Playground","Parks","",11374,"POINT (-73.85713395809647 40.73543851750826)"
"B",308,41,"Park Perimeter","B054","2018-03-12 04:00:00.0000000","","Mitt Mutt","Unpaved Surface",5637,"B054-ZN03","B-08",77,"Lincoln Terrace / Arthur S. Somers Park","Parks","Lincoln Terr Pk/Arthur S Somers Zone 3",11233,"POINT (-73.92555570445468 40.66733285567406)"
"X",206,15,"Park Perimeter","X108","","","Mitt Mutt","Wrought Iron Fence",7613,"","X-06",48,"Belmont Playground","Parks","",10457,"POINT (-73.88745243807557 40.850780907966254)"
"B",301,33,"Near Dog Run","B114","2018-02-09 05:00:00.0000000","Across from dog run at path fork","Mitt Mutt","Unpaved Surface",8404,"","B-01",94,"Msgr. McGolrick Park","","",11222,"POINT (-73.94369459160454 40.7234387863733)"
"B",302,35,"Park Interior","B032","2018-01-25 05:00:00.0000000","","Mitt Mutt","Unpaved Surface",12408,"B032-ZN02","B-02",88,"Fort Greene Park","Parks","Fort Greene Park Zone 2",11201,"POINT (-73.97555871680608 40.69030984854189)"
"B",313,47,"Park Perimeter","B315","2018-01-23 05:00:00.0000000","On Surf Av opp. flags, btwn tree pits","Mitt Mutt","Paved Surface",3631,"","B-13",60,"Surf Playground","","",11224,"POINT (-73.99249448363805 40.57338193070962)"
"B",316,41,"Near Entrance","B260","2018-03-07 05:00:00.0000000","Left of Glenmore Av entrance adj. courts","Mitt Mutt","Paved Surface",3235,"","B-16",73,"Howard Playground","","",11212,"POINT (-73.9081591150017 40.67145202388161)"
"X",204,16,"Park Perimeter","X008","","retaining wall","Mitt Mutt","Wall",7620,"X008-ZN01","X-04",44,"Claremont Park","Parks","Claremont Zone 1",10457,"POINT (-73.9068862632823 40.842616511860776)"
"X",207,11,"Park Perimeter","X033","","","Mitt Mutt","Unpaved Surface",16408,"X033-ZN03","X-07",52,"Mosholu Parkway","Parks","Mosholu Parkway Zone 3",10467,"POINT (-73.88156507499177 40.87594159663711)"
"R",595,50,"Park Interior","R046","2018-05-10 04:00:00.0000000","On boardwalk, adjacent to Freedom Circle","Mitt Mutt","Pipe Rail",2404,"R046-ZN04","R-02B",122,"Franklin D. Roosevelt Boardwalk and Beach","Parks","Midland Beach Zone 4",10305,"POINT (-74.07690052119244 40.578617605309326)"
"Q",411,19,"Near Entrance","Q387A","2017-11-30 05:00:00.0000000","gate entrance on 29th Ave., 206th St.","Mitt Mutt","Paved Surface",6032,"","Q-11",111,"Bayside Fields","Parks","",11360,"POINT (-73.78564899650434 40.77333660016956)"
"M",103,2,"Park Perimeter","M165","","","Mitt Mutt","Wrought Iron Fence",34003,"","M-03",7,"Baruch Playground","Parks","",10002,"POINT (-73.97730133923075 40.71721578321106)"
"X",205,14,"Near Entrance","X257","","","Mitt Mutt","Wrought Iron Fence",14807,"","X-05",46,"Mount Hope Playground","Parks","",10453,"POINT (-73.90958696050792 40.850074138640366)"
"Q",412,28,"Near Entrance","Q005","2018-02-08 05:00:00.0000000","Barron St. and 116th Rd.","Mitt Mutt","Paved Surface",6047,"Q005-05","Q-12",113,"Baisley Pond Park","Parks","157 St Playground",11434,"POINT (-73.78686087326969 40.68423489905916)"
"X",227,15,"Park Interior","X002Group","","","Mitt Mutt","Unpaved Surface",23203,"X002-ZN02","",49,"Bronx River Parks","Parks","Bronx Park Zone 2",10467,"POINT (-73.87106534212884 40.86159311364452)"
"",414,32,"Near Entrance","Q162Group","2018-04-23 04:00:00.0000000","B 81st St. sign","Mitt Mutt","Unpaved Surface",7212,"Q163-ZN05A","Q-14",100,"Rockaway Beach and Boardwalk","Parks","Rockaway Beach 05a",11693,"POINT (-73.80629074574529 40.5861564405249)"
"X",207,11,"Park Perimeter","X033","","E. Mosh Pkwy N, 20-30' from Jerome Ave","Mitt Mutt","Unpaved Surface",16010,"X033-ZN02","X-07",52,"Mosholu Parkway","Parks","Mosholu Parkway Zone 2",10467,"POINT (-73.88364110439137 40.879997659483486)"
"Q",402,26,"Near Entrance","Q031","2018-03-28 04:00:00.0000000","52nd St. and 39th Dr.","Mitt Mutt","Unpaved Surface",3220,"","Q-02",108,"Lawrence Virgilio Playground","Parks","",11377,"POINT (-73.91202127374953 40.74740390567708)"
"X",208,11,"Park Perimeter","X055","","","Mitt Mutt","Unpaved Surface",16807,"","X-08",50,"Brust Park","Parks","",10463,"POINT (-73.9029931786257 40.889700841384446)"
"R",502,50,"Park Perimeter","R073","2018-05-10 04:00:00.0000000","on exterior fence, next to the entrance","Mitt Mutt","Wrought Iron Fence",2806,"","R-02",122,"Naples Playground","Parks","",10304,"POINT (-74.08941570285585 40.60232403351835)"
"",315,48,"Park Perimeter","","2018-02-13 05:00:00.0000000","","Mitt Mutt","Unpaved Surface",6015,"","",61,"","Parks","",11235,"POINT (-73.95376874561896 40.57737181343011)"
"Q",407,20,"Near Entrance","Q300Group","2018-04-22 04:00:00.0000000","outside fence on Main St. and Elder Ave.","Mitt Mutt","Unpaved Surface",4803,"Q300-ZN01","Q-07",109,"Kissena Corridor Park","Parks","Kissena Corridor West Zone 1",11355,"POINT (-73.82553812515215 40.75089643902028)"
"Q",481,21,"Near Entrance","Q099","","In parking lot near zoo area","Mitt Mutt","Paved Surface",18803,"Q099-ZN19","Q-15",110,"Flushing Meadows Corona Park","Parks","Ballfields",11368,"POINT (-73.8501127851781 40.7422218627742)"
"",414,31,"Near Entrance","Q162Group","2018-04-23 04:00:00.0000000","outside west entrance to softball field","Mitt Mutt","Unpaved Surface",7609,"","Q-14",101,"Rockaway Beach and Boardwalk","Parks","",11691,"POINT (-73.75107093856892 40.5946272196188)"
"",313,48,"Near Entrance","","2018-01-25 05:00:00.0000000","","Mitt Mutt","Unpaved Surface",5622,"","",60,"","Parks","",11235,"POINT (-73.95944827477231 40.5753168673196)"
"R",501,49,"Park Perimeter","R109","2018-08-19 04:00:00.0000000","By basket ball court","Mitt Mutt","Unpaved Surface",10805,"","R-01",120,"CPL. Thompson Park","Parks","",10310,"POINT (-74.11984276579008 40.63794762512039)"
"B",301,34,"Park Interior","B223QA","2018-02-09 05:00:00.0000000","","Mitt Mutt","Paved Surface",5605,"","B-01",90,"Marcy Green South","Parks","",11211,"POINT (-73.9573958424796 40.70894654140622)"
"",209,18,"Park Interior","","","","Mitt Mutt","Unpaved Surface",17216,"","",43,"","Parks","",10472,"POINT (-73.85719410661794 40.83192144579739)"
"B",355,39,"Park Perimeter","B073","2018-04-12 04:00:00.0000000","","Mitt Mutt","Paved Surface",12407,"B073-ZN03","B-19",78,"Prospect Park","Parks","Litchfield Villa",11215,"POINT (-73.9737680391945 40.668010978963174)"
"",414,32,"Near Entrance","Q162Group","2018-03-26 04:00:00.0000000","B. 92nd St. shorefront","Mitt Mutt","Unpaved Surface",7229,"Q163-ZN06A","Q-14",100,"Rockaway Beach and Boardwalk","Parks","Rockaway Beach 06a",11693,"POINT (-73.81381183947029 40.5839815893845)"
"X",211,13,"Near Entrance","X163","","","Mitt Mutt","Chain Link Fence",21205,"","X-11",49,"Loreto Playground","Parks","",10461,"POINT (-73.85169013953049 40.848446295634)"
"Q",406,24,"Park Perimeter","Q357B01","2017-12-11 05:00:00.0000000","path near HBCTs on Harace Harding side","Mitt Mutt","Paved Surface",3260,"","Q-06",112,"Barrier Playground","Parks","",11375,"POINT (-73.85541373798789 40.736198786501475)"
